file_date,n
2021-04-04,42
2021-04-05,77
2021-04-06,63
2021-04-07,82
2021-04-08,63
2021-04-09,61
2021-04-10,51
2021-04-11,63
2021-04-12,80
2021-04-13,93
2021-04-14,62
2021-04-15,62
2021-04-16,57
2021-04-17,65
2021-04-18,48
2021-04-19,53
2021-04-20,53
2021-04-21,57
2021-04-22,53
2021-04-23,60
2021-04-24,48
2021-04-25,74
2021-04-26,67
2021-04-27,63
2021-04-28,56
2021-04-29,75
2021-04-30,68
2021-05-01,71
2021-05-02,71
2021-05-03,56
2021-05-04,69
2021-05-05,56
2021-05-06,78
2021-05-07,56
2021-05-08,53
2021-05-09,54
2021-05-10,61
2021-05-11,67
2021-05-12,75
2021-05-13,73
2021-05-14,53
2021-05-15,40
2021-05-16,61
2021-05-17,61
2021-05-18,53
2021-05-19,51
2021-05-20,71
2021-05-21,51
2021-05-22,43
2021-05-23,75
2021-05-24,77
2021-05-25,71
2021-05-26,38
2021-05-27,53
2021-05-28,57
2021-05-29,69
2021-05-30,45
2021-05-31,61
2021-06-01,70
2021-06-02,58
2021-06-03,48
2021-06-04,52
2021-06-05,70
2021-06-06,44
2021-06-07,62
2021-06-08,67
2021-06-09,50
2021-06-10,49
2021-06-11,61
2021-06-12,56
2021-06-13,31
2021-06-14,68
2021-06-15,76
2021-06-16,45
2021-06-17,48
2021-06-18,67
2021-06-19,64
2021-06-20,48
2021-06-21,63
2021-06-22,55
2021-06-23,58
2021-06-24,55
2021-06-25,52
2021-06-26,38
2021-06-27,57
2021-06-28,77
2021-06-29,80
2021-06-30,48
2021-07-01,50
2021-07-02,51
2021-07-03,56
2021-07-04,74
2021-07-05,64
2021-07-06,55
2021-07-07,50
2021-07-08,70
2021-07-09,55
2021-07-10,41
2021-07-11,68
2021-07-12,68
2021-07-13,54
2021-07-14,44
2021-07-15,55
2021-07-16,59
2021-07-17,60
2021-07-18,48
2021-07-19,62
2021-07-20,49
2021-07-21,58
2021-07-22,53
2021-07-23,58
2021-07-24,63
2021-07-25,39
2021-07-26,61
2021-07-27,62
2021-07-28,68
2021-07-29,47
2021-07-30,53
2021-07-31,40
2021-08-01,51
2021-08-02,65
2021-08-03,75
2021-08-04,66
2021-08-05,50
2021-08-06,50
2021-08-07,44
2021-08-08,39
2021-08-09,62
2021-08-10,59
2021-08-11,62
2021-08-12,57
2021-08-13,93
2021-08-14,47
2021-08-15,62
2021-08-16,52
2021-08-17,61
2021-08-18,45
2021-08-19,56
2021-08-20,55
2021-08-21,62
2021-08-22,55
2021-08-23,64
2021-08-24,46
2021-08-25,55
2021-08-26,48
2021-08-27,63
2021-08-28,54
2021-08-29,45
2021-08-30,82
2021-08-31,40
2021-09-01,55
2021-09-02,63
2021-09-03,50
2021-09-04,62
2021-09-05,41
2021-09-06,86
2021-09-07,58
2021-09-08,57
2021-09-09,55
2021-09-10,62
2021-09-11,44
2021-09-12,72
2021-09-13,55
2021-09-14,53
2021-09-15,48
2021-09-16,65
2021-09-17,57
2021-09-18,56
2021-09-19,61
2021-09-20,67
2021-09-21,49
2021-09-22,56
2021-09-23,50
2021-09-24,39
2021-09-25,44
2021-09-26,51
2021-09-27,67
2021-09-28,63
2021-09-29,57
2021-09-30,47
2021-10-01,52
2021-10-02,45
2021-10-03,62
2021-10-04,50
2021-10-05,45
2021-10-06,53
2021-10-07,61
2021-10-08,63
2021-10-09,49
2021-10-10,61
2021-10-11,48
2021-10-12,56
2021-10-13,43
2021-10-14,66
2021-10-15,52
2021-10-16,40
2021-10-17,37
2021-10-18,35
2021-10-19,44
2021-10-20,46
2021-10-21,51
2021-10-22,58
2021-10-23,53
2021-10-24,73
2021-10-25,52
2021-10-26,72
2021-10-27,62
2021-10-28,65
2021-10-29,35
2021-10-30,54
2021-10-31,55
2021-11-01,66
2021-11-02,45
2021-11-03,54
2021-11-04,41
2021-11-05,61
2021-11-06,33
2021-11-07,55
2021-11-08,45
2021-11-09,55
2021-11-10,51
2021-11-11,53
2021-11-12,61
2021-11-13,51
2021-11-14,45
2021-11-15,44
2021-11-16,61
2021-11-17,53
2021-11-18,49
2021-11-19,41
2021-11-20,35
2021-11-21,45
2021-11-22,63
2021-11-23,54
2021-11-24,44
2021-11-25,52
2021-11-26,49
2021-11-27,36
2021-11-28,42
2021-11-29,84
2021-11-30,72
2021-12-01,52
2021-12-02,70
2021-12-03,44
2021-12-04,52
2021-12-05,80
2021-12-06,53
2021-12-07,52
2021-12-08,74
2021-12-09,42
2021-12-10,54
2021-12-11,40
2021-12-12,68
2021-12-13,40
2021-12-14,53
2021-12-15,58
2021-12-16,41
2021-12-17,53
2021-12-18,35
2021-12-19,62
2021-12-20,37
2021-12-21,53
2021-12-22,38
2021-12-23,65
2021-12-24,44
2021-12-25,37
2021-12-26,53
2021-12-27,50
2021-12-28,45
2021-12-29,58
2021-12-30,51
2021-12-31,62
2022-01-01,50
2022-01-02,58
2022-01-03,24
2022-01-04,46
2022-01-05,56
2022-01-06,77
2022-01-07,41
2022-01-08,50
2022-01-09,50
2022-01-10,47
2022-01-11,44
2022-01-12,55
2022-01-13,44
2022-01-14,33
2022-01-15,56
2022-01-16,41
2022-01-17,49
2022-01-18,30
2022-01-19,31
2022-01-20,53
2022-01-21,52
2022-01-22,34
2022-01-23,40
2022-01-24,37
2022-01-25,44
2022-01-26,55
2022-01-27,33
2022-01-28,37
2022-01-29,32
2022-01-30,30
2022-01-31,52
2022-02-01,53
2022-02-02,67
2022-02-03,66
2022-02-04,31
2022-02-05,43
2022-02-06,34
2022-02-07,57
2022-02-08,65
2022-02-09,29
2022-02-10,44
2022-02-11,43
2022-02-12,40
2022-02-13,49
2022-02-14,63
2022-02-15,71
2022-02-16,45
2022-02-17,51
2022-02-18,53
2022-02-19,50
2022-02-20,53
2022-02-21,52
2022-02-22,39
2022-02-23,47
2022-02-24,49
2022-02-25,50
2022-02-26,43
2022-02-27,34
2022-02-28,51
2022-03-01,51
2022-03-02,39
2022-03-03,49
2022-03-04,67
2022-03-05,32
2022-03-06,52
2022-03-07,57
2022-03-08,53
2022-03-09,46
2022-03-10,76
2022-03-11,52
2022-03-12,47
2022-03-13,49
2022-03-14,30
2022-03-15,43
2022-03-16,36
2022-03-17,47
2022-03-18,48
2022-03-19,45
2022-03-20,46
2022-03-21,51
2022-03-22,41
2022-03-23,57
2022-03-24,36
2022-03-25,27
2022-03-26,6
2022-03-27,79
2022-03-28,61
2022-03-29,46
2022-03-30,59
2022-03-31,39
2022-04-01,57
2022-04-02,24
2022-04-03,46
2022-04-04,52
2022-04-05,53
2022-04-06,34
2022-04-07,33
2022-04-08,30
2022-04-09,39
2022-04-10,38
2022-04-11,43
2022-04-12,22
2022-04-13,43
2022-04-14,40
2022-04-15,42
2022-04-16,44
2022-04-17,27
2022-04-18,71
2022-04-19,53
2022-04-20,44
2022-04-21,36
2022-04-22,56
2022-04-23,30
2022-04-24,36
2022-04-25,67
2022-04-26,54
2022-04-27,69
2022-04-28,55
2022-04-29,43
2022-04-30,42
2022-05-01,42
2022-05-02,43
2022-05-03,49
2022-05-04,53
2022-05-05,39
2022-05-06,32
2022-05-07,41
2022-05-08,54
2022-05-09,54
2022-05-10,51
2022-05-11,45
2022-05-12,38
2022-05-13,30
2022-05-14,48
2022-05-15,43
2022-05-16,24
2022-05-17,47
2022-05-18,51
2022-05-19,46
2022-05-20,40
2022-05-21,34
2022-05-22,44
2022-05-23,68
2022-05-24,57
2022-05-25,46
2022-05-26,43
2022-05-27,31
2022-05-28,50
2022-05-29,40
2022-05-30,52
2022-05-31,51
2022-06-01,39
2022-06-02,38
2022-06-03,31
2022-06-04,52
2022-06-05,36
2022-06-06,37
2022-06-07,41
2022-06-08,38
2022-06-09,45
2022-06-10,43
2022-06-11,35
2022-06-12,30
2022-06-13,47
2022-06-14,55
2022-06-15,47
2022-06-16,56
2022-06-17,31
2022-06-18,32
2022-06-19,37
2022-06-20,54
2022-06-21,26
2022-06-22,46
2022-06-23,27
2022-06-24,30
2022-06-25,43
2022-06-26,50
2022-06-27,55
2022-06-28,34
2022-06-29,45
2022-06-30,37
2022-07-01,39
2022-07-02,38
2022-07-03,35
2022-07-04,46
2022-07-05,49
2022-07-06,45
2022-07-07,41
2022-07-08,47
2022-07-09,51
2022-07-10,42
2022-07-11,54
2022-07-12,49
2022-07-13,44
2022-07-14,35
2022-07-15,52
2022-07-16,53
2022-07-17,20
2022-07-18,58
2022-07-19,64
2022-07-20,37
2022-07-21,42
2022-07-22,40
2022-07-23,29
2022-07-24,29
2022-07-25,48
2022-07-26,42
2022-07-27,26
2022-07-28,30
2022-07-29,40
2022-07-30,30
2022-07-31,31
2022-08-01,56
2022-08-02,53
2022-08-03,39
2022-08-04,42
2022-08-05,29
2022-08-06,43
2022-08-07,32
2022-08-08,39
2022-08-09,34
2022-08-10,44
2022-08-11,37
2022-08-12,31
2022-08-13,22
2022-08-14,48
2022-08-15,65
2022-08-16,30
2022-08-17,58
2022-08-18,38
2022-08-19,44
2022-08-20,33
2022-08-21,34
2022-08-22,50
2022-08-23,31
2022-08-24,58
2022-08-25,32
2022-08-26,49
2022-08-27,33
2022-08-28,30
2022-08-29,39
2022-08-30,25
2022-08-31,42
2022-09-01,41
2022-09-02,39
2022-09-03,29
2022-09-04,43
2022-09-05,44
2022-09-06,31
2022-09-07,41
2022-09-08,35
2022-09-09,27
2022-09-10,27
2022-09-11,49
2022-09-12,39
2022-09-13,33
2022-09-14,48
2022-09-15,28
2022-09-16,32
2022-09-17,31
2022-09-18,33
2022-09-19,49
2022-09-20,24
2022-09-21,36
2022-09-22,52
2022-09-23,24
2022-09-24,40
2022-09-25,24
2022-09-26,42
2022-09-27,24
2022-09-28,48
2022-09-29,41
2022-09-30,45
2022-10-01,22
2022-10-02,46
2022-10-03,34
2022-10-04,44
2022-10-05,40
2022-10-06,34
2022-10-07,23
2022-10-08,37
2022-10-09,47
2022-10-10,35
2022-10-11,68
2022-10-12,27
2022-10-13,34
2022-10-14,34
2022-10-15,47
2022-10-16,33
2022-10-17,38
2022-10-18,36
2022-10-19,44
2022-10-20,37
2022-10-21,41
2022-10-22,48
2022-10-23,32
2022-10-24,35
2022-10-25,31
2022-10-26,34
2022-10-27,30
2022-10-28,24
2022-10-29,27
2022-10-30,37
2022-10-31,36
2022-11-01,34
2022-11-02,30
2022-11-03,32
2022-11-04,34
2022-11-05,30
2022-11-06,26
2022-11-07,58
2022-11-08,35
2022-11-09,34
2022-11-10,25
2022-11-11,43
2022-11-12,29
2022-11-13,24
2022-11-14,28
2022-11-15,29
2022-11-16,18
2022-11-17,29
2022-11-18,31
2022-11-19,13
2022-11-20,32
2022-11-21,33
2022-11-22,34
2022-11-23,33
2022-11-24,39
2022-11-25,36
2022-11-26,32
2022-11-27,41
2022-11-28,28
2022-11-29,30
2022-11-30,30
2022-12-01,35
2022-12-02,37
2022-12-03,25
2022-12-04,43
2022-12-05,25
2022-12-06,32
2022-12-07,32
2022-12-08,34
2022-12-09,30
2022-12-10,29
2022-12-11,25
2022-12-12,40
2022-12-13,33
2022-12-14,27
2022-12-15,24
2022-12-16,22
2022-12-17,14
2022-12-18,23
2022-12-19,27
2022-12-20,27
2022-12-21,25
2022-12-22,20
2022-12-23,14
2022-12-24,22
2022-12-25,22
2022-12-26,45
2022-12-27,26
2022-12-28,24
2022-12-29,32
2022-12-30,10
2022-12-31,16
